Locus Tag	Half Life combined fit	stdev_half_life_ABC
SYNPCC7002_A2818	0.474	0.278
SYNPCC7002_A1484	0.474	0.200
SYNPCC7002_A0871	0.474	0.086
SYNPCC7002_A0007	0.474	0.144
SYNPCC7002_A0299	0.474	0.021
SYNPCC7002_A0557	0.474	0.037
SYNPCC7002_A1376	0.474	0.312
SYNPCC7002_G0108	0.475	0.061
SYNPCC7002_A0392	0.475	0.147
SYNPCC7002_A1573	0.475	0.073
SYNPCC7002_A0132	0.476	0.050
SYNPCC7002_A0647	0.476	0.240
SYNPCC7002_A0653	0.476	0.231
SYNPCC7002_A1627	0.476	0.061
SYNPCC7002_A2873	0.477	0.048
SYNPCC7002_A1846	0.477	0.283
SYNPCC7002_A1319	0.477	0.079
SYNPCC7002_A2447	0.477	0.051
SYNPCC7002_A1915	0.477	0.281
SYNPCC7002_A0037	0.477	0.029
SYNPCC7002_A2431	0.477	0.039
SYNPCC7002_A2690	0.478	1.135
SYNPCC7002_A2396	0.478	0.411
SYNPCC7002_F0095	0.478	0.072
SYNPCC7002_A1780	0.479	0.109
SYNPCC7002_A0872	0.479	0.091
SYNPCC7002_A0280	0.479	0.024
SYNPCC7002_G0165	0.479	0.119
SYNPCC7002_A1595	0.479	0.133
SYNPCC7002_A0475	0.480	0.044
SYNPCC7002_A1948	0.480	0.255
SYNPCC7002_A2635	0.480	0.121
SYNPCC7002_F0100	0.480	0.080
SYNPCC7002_A1688	0.480	0.022
SYNPCC7002_A1012	0.480	0.025
SYNPCC7002_A2662	0.480	0.091
SYNPCC7002_A1848	0.481	0.257
SYNPCC7002_A0947	0.481	0.506
SYNPCC7002_A2704	0.482	0.002
SYNPCC7002_A0683	0.482	0.179
SYNPCC7002_A1328	0.482	0.087
SYNPCC7002_A1345	0.482	0.498
SYNPCC7002_A0491	0.482	1.123
SYNPCC7002_A0512	0.482	0.498
SYNPCC7002_A2646	0.483	0.355
SYNPCC7002_A0972	0.483	0.027
SYNPCC7002_A2163	0.483	0.340
SYNPCC7002_A1288	0.483	0.132
SYNPCC7002_A0444	0.483	0.097
SYNPCC7002_A0971	0.484	0.240
SYNPCC7002_A1232	0.484	0.263
SYNPCC7002_A0456	0.484	0.024
SYNPCC7002_A0904	0.484	0.081
SYNPCC7002_A0086	0.485	0.041
SYNPCC7002_A1326	0.485	0.036
SYNPCC7002_A0528	0.486	0.151
SYNPCC7002_A0474	0.486	0.088
SYNPCC7002_A2539	0.486	0.103
SYNPCC7002_A1496	0.487	0.008
SYNPCC7002_G0062	0.487	0.107
SYNPCC7002_A0540	0.487	0.113
SYNPCC7002_A1996	0.488	0.040
SYNPCC7002_A0745	0.489	0.109
SYNPCC7002_A0055	0.489	0.103
SYNPCC7002_G0110	0.489	0.080
SYNPCC7002_A1224	0.489	0.317
SYNPCC7002_E0011	0.489	0.175
SYNPCC7002_A0936	0.489	0.099
SYNPCC7002_A1689	0.490	0.027
SYNPCC7002_A1854	0.490	0.068
SYNPCC7002_A1495	0.490	0.075
SYNPCC7002_A1818	0.490	0.006
SYNPCC7002_A1158	0.490	0.058
SYNPCC7002_A1535	0.490	0.006
SYNPCC7002_A1199	0.491	0.110
SYNPCC7002_A2470	0.491	0.480
SYNPCC7002_A0352	0.492	0.710
SYNPCC7002_G0071	0.492	0.108
SYNPCC7002_G0105	0.492	0.178
SYNPCC7002_A0715	0.492	0.035
SYNPCC7002_A2795	0.493	0.040
SYNPCC7002_A2438	0.493	0.458
SYNPCC7002_A1198	0.493	0.021
SYNPCC7002_A2189	0.494	0.670
SYNPCC7002_A0542	0.494	0.142
SYNPCC7002_A0059	0.494	0.041
SYNPCC7002_A0016	0.494	0.096
SYNPCC7002_A1117	0.495	0.061
SYNPCC7002_A1966	0.495	0.012
SYNPCC7002_A2361	0.495	0.025
SYNPCC7002_A0932	0.495	0.007
SYNPCC7002_A2310	0.495	0.060
SYNPCC7002_A2221	0.496	0.249
SYNPCC7002_A0526	0.496	0.045
SYNPCC7002_A2660	0.496	0.041
SYNPCC7002_A0776	0.496	0.317
SYNPCC7002_A0965	0.496	0.094
SYNPCC7002_A2099	0.496	0.163
SYNPCC7002_A1465	0.497	0.019
SYNPCC7002_A1997	0.497	0.030
SYNPCC7002_A2434	0.497	0.164
SYNPCC7002_A0072	0.497	0.031
SYNPCC7002_E0021	0.497	0.052
SYNPCC7002_A1483	0.497	0.135
SYNPCC7002_A2035	0.498	0.065
SYNPCC7002_A0026	0.498	0.063
SYNPCC7002_A1661	0.498	0.153
SYNPCC7002_A0818	0.499	0.019
SYNPCC7002_A2136	0.499	0.105
SYNPCC7002_A0492	0.499	0.601
SYNPCC7002_A1570	0.499	0.094
SYNPCC7002_A1374	0.499	0.088
SYNPCC7002_A0128	0.500	0.049
SYNPCC7002_A2527	0.500	0.023
SYNPCC7002_A2691	0.500	0.238
SYNPCC7002_A2677	0.500	0.266
SYNPCC7002_A1530	0.500	0.155
SYNPCC7002_A0509	0.501	0.162
SYNPCC7002_A1101	0.501	0.060
SYNPCC7002_A1493	0.501	0.673
SYNPCC7002_A1861	0.501	0.100
SYNPCC7002_A2626	0.501	0.103
SYNPCC7002_A1692	0.502	0.094
SYNPCC7002_A2249	0.502	0.270
SYNPCC7002_A1122	0.502	0.447
SYNPCC7002_A1359	0.502	0.069
SYNPCC7002_A0522	0.502	0.500
SYNPCC7002_A2366	0.503	0.080
SYNPCC7002_A1192	0.503	0.088
SYNPCC7002_A1151	0.503	0.046
SYNPCC7002_A1400	0.504	0.036
SYNPCC7002_A1651	0.504	0.021
SYNPCC7002_A0903	0.504	0.078
SYNPCC7002_A1917	0.504	0.088
SYNPCC7002_A0752	0.504	0.079
SYNPCC7002_F0102	0.505	0.191
SYNPCC7002_A0661	0.505	0.024
SYNPCC7002_A0446	0.505	1.603
SYNPCC7002_A1086	0.506	0.151
SYNPCC7002_A1766	0.506	0.032
SYNPCC7002_A1423	0.506	0.032
SYNPCC7002_A0583	0.506	0.032
SYNPCC7002_A0910	0.507	0.200
SYNPCC7002_G0045	0.507	0.242
SYNPCC7002_A2732	0.507	0.134
SYNPCC7002_A2263	0.507	0.124
SYNPCC7002_A1386	0.507	0.029
SYNPCC7002_A0379	0.507	0.012
SYNPCC7002_A1225	0.507	0.326
SYNPCC7002_A1660	0.508	0.204
SYNPCC7002_G0061	0.508	0.549
SYNPCC7002_A0428	0.508	0.295
SYNPCC7002_A1704	0.508	0.031
SYNPCC7002_A0832	0.509	0.045
SYNPCC7002_A2303	0.509	0.090
SYNPCC7002_G0112	0.510	0.011
SYNPCC7002_A2525	0.511	0.217
SYNPCC7002_F0101	0.511	0.134
SYNPCC7002_A0963	0.511	0.769
SYNPCC7002_A2705	0.511	0.208
SYNPCC7002_A2276	0.511	0.559
SYNPCC7002_A1181	0.512	1.146
SYNPCC7002_A0650	0.512	0.107
SYNPCC7002_A0719	0.512	0.314
SYNPCC7002_A1724	0.512	0.029
SYNPCC7002_E0025	0.512	0.202
SYNPCC7002_A2244	0.512	0.081
SYNPCC7002_A2861	0.513	0.119
SYNPCC7002_A1141	0.513	0.231
SYNPCC7002_A1670	0.513	0.146
SYNPCC7002_A0974	0.513	1.048
SYNPCC7002_A2205	0.513	0.633
SYNPCC7002_A1995	0.513	1.738
SYNPCC7002_G0075	0.513	0.485
SYNPCC7002_A2306	0.514	0.094
SYNPCC7002_A1187	0.514	0.031
SYNPCC7002_A0919	0.514	0.051
SYNPCC7002_A2248	0.514	0.089
SYNPCC7002_A1856	0.514	2.627
SYNPCC7002_F0029	0.515	0.967
SYNPCC7002_A0295	0.515	0.067
SYNPCC7002_A0954	0.515	0.274
SYNPCC7002_A1594	0.515	0.215
SYNPCC7002_A0907	0.515	0.366
SYNPCC7002_A1277	0.516	0.057
SYNPCC7002_A2355	0.516	0.102
SYNPCC7002_A1454	0.516	0.325
SYNPCC7002_A1634	0.518	0.082
SYNPCC7002_A2070	0.518	0.489
SYNPCC7002_A2826	0.518	0.077
SYNPCC7002_A1690	0.518	0.151
SYNPCC7002_A0183	0.518	0.031
SYNPCC7002_A0096	0.518	0.213
SYNPCC7002_A0423	0.518	0.326
SYNPCC7002_A0163	0.518	0.041
SYNPCC7002_A0188	0.518	0.082
SYNPCC7002_A0303	0.519	0.123
SYNPCC7002_G0039	0.519	0.147
SYNPCC7002_A0122	0.519	0.037
SYNPCC7002_A2243	0.519	0.402
SYNPCC7002_A1933	0.519	0.125
SYNPCC7002_A1320	0.520	0.086
SYNPCC7002_A1718	0.520	0.177
SYNPCC7002_A2100	0.520	0.480
SYNPCC7002_F0016	0.520	0.147
SYNPCC7002_A1888	0.520	0.775
SYNPCC7002_A1576	0.521	0.185
SYNPCC7002_A2051	0.521	0.089
SYNPCC7002_A1293	0.521	0.029
SYNPCC7002_A0758	0.521	1.478
SYNPCC7002_A0166	0.521	0.244
SYNPCC7002_A1896	0.521	0.143
SYNPCC7002_A1380	0.521	0.061
SYNPCC7002_A1528	0.522	0.090
SYNPCC7002_A0744	0.522	0.012
SYNPCC7002_A0169	0.522	0.032
SYNPCC7002_A0402	0.522	0.027
SYNPCC7002_A1355	0.522	0.741
SYNPCC7002_A0300	0.522	0.195
SYNPCC7002_A0834	0.522	0.381
SYNPCC7002_A2066	0.523	0.077
SYNPCC7002_C0014	0.523	0.116
SYNPCC7002_A0768	0.523	0.468
SYNPCC7002_A1850	0.523	0.013
SYNPCC7002_A0058	0.523	0.531
SYNPCC7002_A0494	0.524	0.454
SYNPCC7002_A1327	0.524	0.050
SYNPCC7002_A1815	0.524	0.012
