Locus Tag	Half Life combined fit	stdev_half_life_ABC
SYNPCC7002_A2607	0.635	0.281
SYNPCC7002_A0020	0.638	4.256
SYNPCC7002_F0083	0.638	0.427
SYNPCC7002_A1005	0.639	1.812
SYNPCC7002_A0019	0.640	0.171
SYNPCC7002_A0325	0.640	0.051
SYNPCC7002_A2872	0.640	1.110
SYNPCC7002_A1779	0.643	0.122
SYNPCC7002_A1272	0.644	0.337
SYNPCC7002_A1019	0.646	0.029
SYNPCC7002_A2351	0.646	0.117
SYNPCC7002_A2250	0.646	0.383
SYNPCC7002_A2188	0.647	0.040
SYNPCC7002_A0133	0.648	0.014
SYNPCC7002_A0575	0.648	0.110
SYNPCC7002_A2471	0.648	0.221
SYNPCC7002_A1486	0.648	0.169
SYNPCC7002_A1322	0.648	0.605
SYNPCC7002_A0824	0.650	0.375
SYNPCC7002_A0485	0.651	0.217
SYNPCC7002_A0660	0.654	0.275
SYNPCC7002_A0288	0.655	0.105
SYNPCC7002_A2838	0.656	0.145
SYNPCC7002_A0005	0.657	0.446
SYNPCC7002_A2567	0.657	0.163
SYNPCC7002_A1682	0.657	0.114
SYNPCC7002_A0921	0.660	0.228
SYNPCC7002_A0520	0.661	0.184
SYNPCC7002_A2827	0.661	0.025
SYNPCC7002_A1214	0.661	0.461
SYNPCC7002_A1982	0.665	0.498
SYNPCC7002_A1632	0.667	0.492
SYNPCC7002_A2179	0.670	0.079
SYNPCC7002_A1579	0.670	0.183
SYNPCC7002_A1439	0.675	0.102
SYNPCC7002_A1578	0.676	0.184
SYNPCC7002_D0018	0.677	0.047
SYNPCC7002_A0062	0.679	0.175
SYNPCC7002_A0630	0.679	0.179
SYNPCC7002_A0209	0.680	0.212
SYNPCC7002_A0127	0.680	0.704
SYNPCC7002_A0646	0.680	0.041
SYNPCC7002_G0096	0.681	0.265
SYNPCC7002_A1451	0.681	0.346
SYNPCC7002_A1323	0.687	0.228
SYNPCC7002_A1564	0.688	0.150
SYNPCC7002_A1624	0.689	0.144
SYNPCC7002_A0389	0.689	0.173
SYNPCC7002_A1613	0.691	0.161
SYNPCC7002_A2546	0.692	0.044
SYNPCC7002_A0405	0.693	0.150
SYNPCC7002_A2419	0.696	0.251
SYNPCC7002_A1548	0.696	0.121
SYNPCC7002_F0002	0.698	0.021
SYNPCC7002_A1852	0.701	0.401
SYNPCC7002_A1115	0.702	0.744
SYNPCC7002_A2167	0.703	0.187
SYNPCC7002_A2184	0.705	0.412
SYNPCC7002_A0126	0.707	0.060
SYNPCC7002_A2126	0.707	0.311
SYNPCC7002_A1975	0.708	0.243
SYNPCC7002_A1357	0.710	0.067
SYNPCC7002_A2733	0.710	1.842
SYNPCC7002_A1503	0.713	0.033
SYNPCC7002_A0071	0.714	0.060
SYNPCC7002_A2307	0.716	4.575
SYNPCC7002_A0301	0.717	0.158
SYNPCC7002_A1360	0.718	0.208
SYNPCC7002_A1068	0.718	0.654
SYNPCC7002_A2022	0.719	0.145
SYNPCC7002_A0631	0.720	0.180
SYNPCC7002_A0051	0.720	0.138
SYNPCC7002_A0662	0.721	0.124
SYNPCC7002_A0775	0.722	0.101
SYNPCC7002_A0373	0.723	0.166
SYNPCC7002_A1419	0.724	0.150
SYNPCC7002_E0018	0.726	0.105
SYNPCC7002_A1767	0.726	0.100
SYNPCC7002_A1927	0.726	1.718
SYNPCC7002_G0025	0.727	0.128
SYNPCC7002_A2574	0.727	0.853
SYNPCC7002_A0956	0.728	0.129
SYNPCC7002_A2808	0.729	0.140
SYNPCC7002_A1114	0.730	0.653
SYNPCC7002_C0002	0.731	0.053
SYNPCC7002_G0003	0.731	0.190
SYNPCC7002_A0354	0.733	0.122
SYNPCC7002_A1124	0.733	0.799
SYNPCC7002_A1618	0.734	0.282
SYNPCC7002_A0142	0.735	0.089
SYNPCC7002_A1785	0.735	1.465
SYNPCC7002_A2543	0.736	0.824
SYNPCC7002_A0812	0.736	0.144
SYNPCC7002_D0010	0.737	0.161
SYNPCC7002_A0431	0.737	0.038
SYNPCC7002_A1302	0.738	0.808
SYNPCC7002_A2003	0.738	0.305
SYNPCC7002_A1557	0.739	0.081
SYNPCC7002_G0095	0.740	0.064
SYNPCC7002_A0442	0.740	0.806
SYNPCC7002_A1262	0.742	0.131
SYNPCC7002_A2414	0.742	0.225
SYNPCC7002_A0961	0.743	0.138
SYNPCC7002_A1444	0.745	0.173
SYNPCC7002_A0837	0.747	0.061
SYNPCC7002_E0019	0.747	1.304
SYNPCC7002_A2033	0.747	0.182
SYNPCC7002_A0477	0.748	2.234
SYNPCC7002_A2101	0.750	2.066
SYNPCC7002_A0476	0.752	0.172
SYNPCC7002_A2135	0.753	0.238
SYNPCC7002_A2125	0.756	0.108
SYNPCC7002_A0274	0.757	0.385
SYNPCC7002_A2577	0.758	17.612
SYNPCC7002_A1504	0.759	0.048
SYNPCC7002_A2490	0.759	0.148
SYNPCC7002_A2028	0.759	1.083
SYNPCC7002_G0046	0.760	0.241
SYNPCC7002_A1294	0.760	0.055
SYNPCC7002_A0454	0.761	0.089
SYNPCC7002_A2023	0.761	0.066
SYNPCC7002_A1167	0.761	0.835
SYNPCC7002_A1069	0.763	0.019
SYNPCC7002_A2042	0.766	0.146
SYNPCC7002_A0326	0.766	0.553
SYNPCC7002_A1350	0.767	0.250
SYNPCC7002_A1539	0.767	0.138
SYNPCC7002_A1999	0.768	0.228
SYNPCC7002_A2829	0.768	0.186
SYNPCC7002_A0419	0.769	0.466
SYNPCC7002_G0158	0.770	0.072
SYNPCC7002_A1754	0.771	0.378
SYNPCC7002_A2702	0.771	0.213
SYNPCC7002_A2449	0.772	0.439
SYNPCC7002_A0262	0.772	0.136
SYNPCC7002_A2502	0.772	0.167
SYNPCC7002_A1010	0.772	1.603
SYNPCC7002_A1544	0.772	0.155
SYNPCC7002_A1110	0.773	0.057
SYNPCC7002_D0003	0.773	0.014
SYNPCC7002_A2117	0.774	0.447
SYNPCC7002_A1471	0.774	0.177
SYNPCC7002_A0486	0.775	0.019
SYNPCC7002_A0694	0.776	0.098
SYNPCC7002_A0639	0.776	0.142
SYNPCC7002_G0136	0.776	1.177
SYNPCC7002_A0502	0.777	0.027
SYNPCC7002_A1765	0.777	0.160
SYNPCC7002_A0206	0.778	3.518
SYNPCC7002_G0142	0.779	1.004
SYNPCC7002_A0764	0.779	0.404
SYNPCC7002_A0962	0.780	0.318
SYNPCC7002_A0506	0.780	0.225
SYNPCC7002_A0104	0.781	0.074
SYNPCC7002_A2825	0.782	0.118
SYNPCC7002_F0011	0.784	0.736
SYNPCC7002_A2464	0.784	0.049
SYNPCC7002_A1279	0.784	0.216
SYNPCC7002_A1984	0.785	1.847
SYNPCC7002_A0501	0.785	0.980
SYNPCC7002_A2425	0.786	1.133
SYNPCC7002_A0035	0.787	0.584
SYNPCC7002_A1216	0.787	1.192
SYNPCC7002_A0152	0.788	0.029
SYNPCC7002_A2049	0.788	0.067
SYNPCC7002_A2793	0.789	1.140
SYNPCC7002_A1914	0.791	0.074
SYNPCC7002_A0105	0.791	1.082
SYNPCC7002_A1472	0.791	0.130
SYNPCC7002_A2093	0.792	0.060
SYNPCC7002_A2522	0.792	0.026
SYNPCC7002_A2015	0.793	0.012
SYNPCC7002_A0843	0.794	0.036
SYNPCC7002_A0420	0.794	0.516
SYNPCC7002_F0005	0.794	0.140
SYNPCC7002_A1694	0.794	3.713
SYNPCC7002_A1538	0.794	0.031
SYNPCC7002_A1098	0.795	0.116
SYNPCC7002_A2742	0.795	0.261
SYNPCC7002_A2185	0.795	0.674
SYNPCC7002_A0591	0.796	0.088
SYNPCC7002_A1553	0.796	0.077
SYNPCC7002_A2416	0.796	0.082
SYNPCC7002_A0908	0.797	0.252
SYNPCC7002_A1414	0.797	0.035
SYNPCC7002_A0283	0.797	0.291
SYNPCC7002_E0010	0.797	0.183
SYNPCC7002_A0038	0.798	0.176
SYNPCC7002_A1384	0.798	0.998
SYNPCC7002_A2592	0.799	0.156
SYNPCC7002_A1280	0.799	6.718
SYNPCC7002_A0378	0.799	0.105
SYNPCC7002_A2560	0.800	0.781
SYNPCC7002_A0813	0.800	1.951
SYNPCC7002_A0817	0.800	0.361
SYNPCC7002_A0355	0.801	0.071
SYNPCC7002_A2715	0.802	0.272
SYNPCC7002_A0003	0.802	0.898
SYNPCC7002_A2427	0.803	0.087
SYNPCC7002_A1639	0.804	0.081
SYNPCC7002_A2034	0.804	0.186
SYNPCC7002_A0496	0.804	0.125
SYNPCC7002_A1118	0.804	0.226
SYNPCC7002_A0050	0.804	0.064
SYNPCC7002_A2595	0.805	0.019
SYNPCC7002_A1903	0.805	0.038
SYNPCC7002_A2648	0.805	0.243
SYNPCC7002_A2627	0.805	0.309
SYNPCC7002_A1936	0.805	0.338
SYNPCC7002_A0600	0.806	0.337
SYNPCC7002_A0213	0.806	0.568
SYNPCC7002_A2019	0.807	0.051
SYNPCC7002_A1763	0.807	0.380
SYNPCC7002_A1255	0.808	0.422
SYNPCC7002_A0121	0.808	1.202
SYNPCC7002_A2523	0.808	0.138
SYNPCC7002_A2822	0.808	0.156
SYNPCC7002_G0099	0.809	0.195
SYNPCC7002_A1849	0.810	2.144
SYNPCC7002_A0503	0.810	0.048
SYNPCC7002_A0803	0.811	7.321
SYNPCC7002_A2388	0.811	0.075
SYNPCC7002_A0527	0.811	0.119
SYNPCC7002_A0331	0.812	1.290
SYNPCC7002_A0384	0.812	0.163
SYNPCC7002_A1569	0.812	0.192
SYNPCC7002_A2519	0.813	0.057
SYNPCC7002_A2816	0.814	3.638
SYNPCC7002_A2082	0.814	0.452
SYNPCC7002_A1706	0.814	0.103
SYNPCC7002_A0193	0.814	0.195
SYNPCC7002_A2078	0.815	0.209
SYNPCC7002_A0377	0.815	0.145
SYNPCC7002_A0156	0.816	0.038
SYNPCC7002_A2319	0.817	0.099
SYNPCC7002_A0816	0.817	0.577
SYNPCC7002_A2617	0.817	0.677
SYNPCC7002_A2723	0.817	0.085
SYNPCC7002_A1219	0.818	0.141
SYNPCC7002_A0977	0.818	0.052
SYNPCC7002_A0052	0.818	0.072
SYNPCC7002_A0757	0.818	0.449
SYNPCC7002_A1789	0.819	0.199
SYNPCC7002_A2278	0.819	0.543
SYNPCC7002_G0135	0.819	0.017
SYNPCC7002_A2197	0.819	0.042
SYNPCC7002_A1196	0.819	0.095
SYNPCC7002_A0785	0.819	0.115
SYNPCC7002_A2455	0.820	0.046
SYNPCC7002_A2107	0.820	0.345
SYNPCC7002_A1788	0.820	0.209
SYNPCC7002_A1497	0.821	1.246
SYNPCC7002_A1129	0.821	0.193
SYNPCC7002_A1390	0.822	0.616
SYNPCC7002_A1985	0.823	0.282
SYNPCC7002_A2584	0.823	0.176
SYNPCC7002_A1540	0.823	0.039
SYNPCC7002_A2408	0.824	1.871
SYNPCC7002_A0453	0.824	0.411
SYNPCC7002_G0094	0.824	0.629
SYNPCC7002_A1935	0.825	0.726
SYNPCC7002_A0448	0.825	1.058
SYNPCC7002_A2641	0.826	0.172
SYNPCC7002_A2011	0.826	6.333
SYNPCC7002_A0523	0.826	1.156
SYNPCC7002_A0836	0.826	0.244
SYNPCC7002_A1013	0.827	0.623
SYNPCC7002_A0306	0.827	0.155
SYNPCC7002_A0880	0.827	0.050
SYNPCC7002_A0214	0.829	0.074
SYNPCC7002_A2589	0.829	0.405
SYNPCC7002_A0357	0.829	0.168
SYNPCC7002_A1561	0.829	1.881
SYNPCC7002_A0804	0.829	0.261
SYNPCC7002_A2230	0.830	0.516
SYNPCC7002_A2603	0.830	1.183
SYNPCC7002_A0123	0.830	0.114
SYNPCC7002_A0436	0.830	0.219
SYNPCC7002_A2640	0.830	0.428
SYNPCC7002_A2644	0.831	0.003
SYNPCC7002_A0980	0.832	1.792
SYNPCC7002_G0053	0.832	0.094
SYNPCC7002_A1145	0.833	1.428
SYNPCC7002_A1534	0.833	0.564
SYNPCC7002_A0559	0.833	1.104
SYNPCC7002_A0137	0.834	0.254
SYNPCC7002_A0192	0.834	0.101
SYNPCC7002_F0013	0.834	0.105
SYNPCC7002_A1185	0.834	0.250
SYNPCC7002_A2683	0.835	0.496
SYNPCC7002_A0513	0.835	0.072
SYNPCC7002_A1080	0.835	1.455
SYNPCC7002_A2585	0.835	0.115
SYNPCC7002_A0237	0.835	0.038
SYNPCC7002_A1617	0.836	0.030
SYNPCC7002_A2469	0.836	0.064
SYNPCC7002_D0028	0.836	0.083
SYNPCC7002_A0769	0.836	0.168
SYNPCC7002_A0549	0.837	0.717
SYNPCC7002_A0900	0.837	0.244
SYNPCC7002_A1600	0.837	0.304
SYNPCC7002_A0223	0.838	0.196
SYNPCC7002_A0989	0.838	0.026
SYNPCC7002_A2030	0.839	0.042
SYNPCC7002_A1805	0.839	0.095
SYNPCC7002_A0240	0.839	0.097
SYNPCC7002_A2004	0.840	0.061
SYNPCC7002_A2020	0.840	0.142
SYNPCC7002_A0943	0.840	0.096
SYNPCC7002_A0927	0.840	0.152
SYNPCC7002_A0693	0.840	0.022
SYNPCC7002_A0975	0.840	0.061
SYNPCC7002_A1468	0.840	1.292
SYNPCC7002_A1678	0.840	0.091
SYNPCC7002_A2701	0.840	0.091
SYNPCC7002_G0028	0.840	0.145
SYNPCC7002_A1622	0.841	0.457
SYNPCC7002_A0469	0.841	0.144
SYNPCC7002_A2506	0.841	0.038
SYNPCC7002_A0978	0.841	0.298
SYNPCC7002_A0154	0.842	0.084
SYNPCC7002_A0120	0.842	0.187
SYNPCC7002_A2324	0.842	0.226
SYNPCC7002_A0081	0.842	0.022
SYNPCC7002_A1863	0.842	0.542
SYNPCC7002_A0879	0.843	0.058
SYNPCC7002_A1146	0.843	2.117
SYNPCC7002_A0370	0.843	0.061
SYNPCC7002_A2127	0.843	0.117
SYNPCC7002_A1926	0.843	0.042
SYNPCC7002_A2178	0.843	0.032
SYNPCC7002_A0013	0.844	0.058
SYNPCC7002_A2624	0.844	1.310
SYNPCC7002_A1646	0.844	0.466
SYNPCC7002_A2534	0.844	0.521
SYNPCC7002_A0258	0.845	0.060
SYNPCC7002_A0976	0.845	0.100
SYNPCC7002_A1609	0.845	1.100
SYNPCC7002_A1820	0.845	0.043
SYNPCC7002_A2762	0.846	0.108
SYNPCC7002_A1253	0.846	0.636
SYNPCC7002_A1445	0.846	0.444
SYNPCC7002_A2845	0.846	0.162
SYNPCC7002_A2415	0.847	7.780
SYNPCC7002_A0786	0.847	0.172
SYNPCC7002_A1663	0.848	0.140
SYNPCC7002_A2190	0.848	1.409
SYNPCC7002_A1221	0.848	0.107
SYNPCC7002_A0607	0.848	0.140
SYNPCC7002_A0445	0.848	0.049
SYNPCC7002_A1186	0.848	0.132
SYNPCC7002_A1295	0.849	0.185
SYNPCC7002_A1532	0.849	0.019
SYNPCC7002_A1729	0.849	1.802
SYNPCC7002_A1956	0.850	0.147
SYNPCC7002_F0001	0.850	0.056
SYNPCC7002_A2724	0.850	0.806
SYNPCC7002_A2803	0.850	0.389
SYNPCC7002_A2017	0.850	0.303
SYNPCC7002_A2649	0.850	0.166
SYNPCC7002_A2358	0.851	0.131
SYNPCC7002_A1813	0.851	1.439
SYNPCC7002_A0779	0.851	1.861
SYNPCC7002_A2682	0.851	0.245
SYNPCC7002_A1837	0.851	0.056
SYNPCC7002_A2264	0.852	0.148
SYNPCC7002_A0716	0.852	0.143
SYNPCC7002_A2193	0.852	0.410
SYNPCC7002_A2322	0.852	0.110
SYNPCC7002_A2233	0.852	0.085
SYNPCC7002_A2866	0.853	0.146
SYNPCC7002_A2728	0.853	0.043
SYNPCC7002_A1351	0.853	0.145
SYNPCC7002_A0894	0.853	0.371
SYNPCC7002_A1608	0.854	0.360
SYNPCC7002_A2021	0.854	0.239
SYNPCC7002_A2092	0.854	1.741
SYNPCC7002_A0082	0.854	1.705
SYNPCC7002_A2610	0.854	2.436
SYNPCC7002_A1979	0.854	2.927
SYNPCC7002_A2722	0.854	0.551
SYNPCC7002_A0525	0.854	7.863
SYNPCC7002_A0425	0.854	0.127
SYNPCC7002_A1478	0.855	0.191
SYNPCC7002_A1209	0.855	0.133
SYNPCC7002_A2461	0.855	0.125
SYNPCC7002_A0951	0.856	0.140
SYNPCC7002_A1592	0.856	0.130
SYNPCC7002_A1247	0.857	0.039
SYNPCC7002_G0027	0.857	0.079
SYNPCC7002_A1259	0.857	0.040
SYNPCC7002_A2149	0.857	0.672
SYNPCC7002_A1840	0.857	0.656
SYNPCC7002_A0674	0.857	0.124
SYNPCC7002_A0901	0.858	0.214
SYNPCC7002_A1318	0.859	0.394
SYNPCC7002_A2369	0.859	0.186
SYNPCC7002_A2195	0.859	1.476
SYNPCC7002_A0034	0.859	0.069
SYNPCC7002_D0015	0.860	0.369
SYNPCC7002_A2452	0.860	2.228
SYNPCC7002_A2176	0.860	0.313
SYNPCC7002_A1865	0.861	0.135
SYNPCC7002_A2094	0.861	0.416
SYNPCC7002_A2160	0.861	0.138
SYNPCC7002_A1308	0.861	0.128
SYNPCC7002_A1415	0.862	0.261
SYNPCC7002_A2520	0.862	0.216
SYNPCC7002_A2357	0.862	0.111
SYNPCC7002_A1952	0.863	0.094
SYNPCC7002_A0145	0.863	0.053
SYNPCC7002_A2647	0.863	0.078
SYNPCC7002_A1992	0.863	0.176
SYNPCC7002_A2463	0.863	0.428
SYNPCC7002_A0593	0.864	0.031
SYNPCC7002_A0774	0.865	0.030
SYNPCC7002_A2571	0.865	3.719
SYNPCC7002_A0915	0.866	0.298
SYNPCC7002_A1641	0.866	0.101
SYNPCC7002_A1679	0.866	0.691
SYNPCC7002_A2392	0.866	0.254
SYNPCC7002_A1562	0.866	0.619
SYNPCC7002_F0092	0.866	0.071
SYNPCC7002_A0024	0.867	1.162
SYNPCC7002_A2398	0.867	0.325
SYNPCC7002_A1722	0.867	0.159
SYNPCC7002_A2809	0.867	0.614
SYNPCC7002_A1747	0.867	0.129
SYNPCC7002_A0601	0.867	1.239
SYNPCC7002_A1677	0.867	0.025
SYNPCC7002_A2153	0.868	1.291
SYNPCC7002_A0519	0.869	0.039
SYNPCC7002_A2123	0.869	0.457
SYNPCC7002_A2219	0.869	0.156
SYNPCC7002_G0010	0.869	0.651
SYNPCC7002_A0371	0.870	0.018
SYNPCC7002_A0788	0.870	0.094
SYNPCC7002_A1241	0.871	0.201
SYNPCC7002_A2399	0.871	0.016
SYNPCC7002_A1784	0.871	1.207
SYNPCC7002_G0156	0.871	3.548
SYNPCC7002_A1897	0.871	0.111
SYNPCC7002_A2027	0.871	0.207
SYNPCC7002_A2880	0.872	1.228
SYNPCC7002_A1568	0.872	0.220
SYNPCC7002_A1112	0.873	0.057
SYNPCC7002_A1862	0.873	0.070
SYNPCC7002_A0550	0.873	0.130
SYNPCC7002_A1781	0.874	0.143
SYNPCC7002_A2329	0.874	0.194
SYNPCC7002_A2330	0.874	0.163
SYNPCC7002_A2182	0.875	0.078
SYNPCC7002_A2300	0.875	0.095
SYNPCC7002_A2537	0.875	0.317
SYNPCC7002_A1455	0.875	0.431
SYNPCC7002_A2466	0.876	0.044
SYNPCC7002_G0089	0.876	1.176
SYNPCC7002_A2820	0.876	0.089
SYNPCC7002_A0293	0.876	0.092
SYNPCC7002_A2744	0.877	0.829
SYNPCC7002_A0973	0.877	0.170
SYNPCC7002_A0890	0.877	1.214
SYNPCC7002_A2277	0.877	0.037
SYNPCC7002_A0245	0.877	0.585
SYNPCC7002_A2847	0.877	0.245
SYNPCC7002_A2578	0.878	0.040
SYNPCC7002_A1127	0.878	0.250
SYNPCC7002_A0928	0.878	0.255
SYNPCC7002_A0705	0.879	2.444
SYNPCC7002_A0558	0.880	0.264
SYNPCC7002_C0012	0.880	0.192
SYNPCC7002_A1263	0.880	0.054
SYNPCC7002_A2241	0.880	0.769
SYNPCC7002_A0771	0.880	0.128
SYNPCC7002_G0049	0.880	0.606
SYNPCC7002_C0001	0.881	0.066
SYNPCC7002_A0057	0.881	0.043
SYNPCC7002_A2236	0.882	0.381
SYNPCC7002_A1011	0.882	0.133
SYNPCC7002_A1373	0.882	0.957
SYNPCC7002_A0286	0.883	0.190
SYNPCC7002_A1601	0.883	0.037
SYNPCC7002_A0418	0.884	0.110
SYNPCC7002_A0729	0.884	0.364
SYNPCC7002_A0747	0.884	2.405
SYNPCC7002_A2256	0.885	0.046
SYNPCC7002_A2587	0.885	0.129
SYNPCC7002_A2103	0.885	0.177
SYNPCC7002_A2108	0.885	0.137
SYNPCC7002_F0049	0.885	0.291
SYNPCC7002_A0449	0.885	0.204
SYNPCC7002_G0034	0.885	0.066
SYNPCC7002_A0143	0.886	0.140
SYNPCC7002_A0422	0.886	8.784
SYNPCC7002_A2559	0.886	0.067
SYNPCC7002_A2183	0.886	0.507
SYNPCC7002_A2281	0.886	0.398
SYNPCC7002_A0339	0.887	0.205
SYNPCC7002_A2301	0.887	0.575
SYNPCC7002_A1309	0.887	0.046
SYNPCC7002_A1335	0.888	1.021
SYNPCC7002_A2540	0.888	2.320
SYNPCC7002_A1610	0.888	0.084
SYNPCC7002_A0421	0.889	0.209
SYNPCC7002_A0594	0.889	0.106
SYNPCC7002_F0093	0.889	0.185
SYNPCC7002_A1563	0.889	0.106
SYNPCC7002_A2638	0.889	0.054
SYNPCC7002_A1736	0.890	0.143
SYNPCC7002_A1630	0.890	0.254
SYNPCC7002_A2737	0.891	0.353
SYNPCC7002_A2711	0.891	0.219
SYNPCC7002_A0882	0.891	0.059
SYNPCC7002_A0318	0.892	0.056
SYNPCC7002_D0001	0.892	0.760
SYNPCC7002_A1168	0.892	0.205
SYNPCC7002_A1703	0.892	0.106
SYNPCC7002_A2775	0.892	0.264
SYNPCC7002_A2262	0.892	0.049
SYNPCC7002_A2602	0.893	0.113
SYNPCC7002_A2488	0.893	0.061
SYNPCC7002_A2868	0.893	0.231
SYNPCC7002_A0160	0.893	0.127
SYNPCC7002_F0017	0.894	0.150
SYNPCC7002_D0030	0.894	0.096
SYNPCC7002_G0051	0.894	0.096
SYNPCC7002_A0995	0.895	0.129
SYNPCC7002_A2456	0.895	0.132
SYNPCC7002_A0261	0.895	0.198
SYNPCC7002_A0046	0.896	0.061
SYNPCC7002_A2154	0.896	0.028
SYNPCC7002_A1501	0.896	0.114
SYNPCC7002_A1463	0.896	0.049
SYNPCC7002_A2338	0.897	0.402
SYNPCC7002_G0157	0.897	2.371
SYNPCC7002_A0227	0.897	0.225
SYNPCC7002_A1547	0.897	0.434
SYNPCC7002_A2678	0.897	2.031
SYNPCC7002_A1082	0.898	0.309
SYNPCC7002_A0372	0.898	0.079
SYNPCC7002_A0531	0.898	0.128
SYNPCC7002_A1166	0.898	0.077
SYNPCC7002_A0857	0.898	0.201
SYNPCC7002_A0272	0.899	0.049
SYNPCC7002_A0155	0.899	1.947
SYNPCC7002_A0717	0.899	0.130
SYNPCC7002_A1296	0.899	0.124
SYNPCC7002_A0515	0.899	2.276
SYNPCC7002_A2656	0.899	0.457
SYNPCC7002_A1372	0.899	0.081
SYNPCC7002_G0033	0.900	0.146
SYNPCC7002_A2025	0.900	0.035
SYNPCC7002_A1175	0.900	0.189
SYNPCC7002_A1435	0.900	0.152
SYNPCC7002_A1822	0.901	0.080
SYNPCC7002_A2142	0.902	0.160
SYNPCC7002_A2510	0.902	0.190
SYNPCC7002_A0369	0.902	0.134
SYNPCC7002_A1900	0.902	0.122
SYNPCC7002_A1212	0.902	0.302
SYNPCC7002_A2814	0.902	0.038
SYNPCC7002_A2781	0.903	0.118
SYNPCC7002_G0123	0.903	0.212
SYNPCC7002_A0783	0.904	1.500
SYNPCC7002_F0012	0.904	0.038
SYNPCC7002_A0516	0.904	0.125
SYNPCC7002_A1554	0.904	0.230
SYNPCC7002_A0712	0.905	0.087
SYNPCC7002_A1188	0.905	0.429
SYNPCC7002_A1089	0.905	0.097
SYNPCC7002_A0432	0.905	0.031
SYNPCC7002_A1391	0.906	0.119
SYNPCC7002_A2386	0.906	0.076
SYNPCC7002_A2745	0.906	0.188
SYNPCC7002_G0004	0.906	0.050
SYNPCC7002_A2432	0.906	1.206
SYNPCC7002_A1891	0.906	0.272
SYNPCC7002_A0278	0.907	0.294
SYNPCC7002_A2334	0.907	0.084
SYNPCC7002_A0435	0.907	0.034
SYNPCC7002_A1340	0.907	0.178
SYNPCC7002_A1104	0.907	0.210
SYNPCC7002_A1467	0.908	0.059
SYNPCC7002_C0004	0.908	0.022
SYNPCC7002_A2308	0.908	1.211
SYNPCC7002_A2739	0.908	0.116
SYNPCC7002_A0216	0.908	0.607
SYNPCC7002_A1436	0.908	0.585
SYNPCC7002_A2475	0.909	0.089
SYNPCC7002_A1324	0.909	1.487
SYNPCC7002_A0514	0.909	2.150
SYNPCC7002_A0054	0.909	7.215
SYNPCC7002_A0651	0.909	1.899
SYNPCC7002_A0762	0.909	0.053
SYNPCC7002_A0069	0.910	0.098
SYNPCC7002_A1257	0.910	0.115
SYNPCC7002_A1620	0.910	0.201
SYNPCC7002_A0599	0.910	1.854
SYNPCC7002_A2650	0.910	0.108
SYNPCC7002_A2720	0.910	0.094
SYNPCC7002_A1658	0.910	0.114
SYNPCC7002_A2790	0.911	0.389
SYNPCC7002_A1248	0.911	4.829
SYNPCC7002_A1023	0.911	1.699
SYNPCC7002_A1728	0.912	0.485
SYNPCC7002_A2166	0.912	0.191
SYNPCC7002_A1420	0.913	0.034
SYNPCC7002_A1405	0.913	0.212
SYNPCC7002_A2242	0.913	0.107
SYNPCC7002_A2643	0.914	0.242
SYNPCC7002_A1090	0.914	0.114
SYNPCC7002_A2129	0.914	0.106
SYNPCC7002_G0137	0.914	1.381
SYNPCC7002_A1860	0.915	0.878
SYNPCC7002_A1341	0.915	0.019
SYNPCC7002_A2333	0.915	0.174
SYNPCC7002_G0145	0.915	1.762
SYNPCC7002_A1121	0.915	0.260
SYNPCC7002_A0014	0.915	0.060
SYNPCC7002_A1336	0.916	0.643
SYNPCC7002_A0461	0.916	0.187
SYNPCC7002_A1217	0.916	2.848
SYNPCC7002_A0335	0.916	0.162
SYNPCC7002_A1892	0.916	0.762
SYNPCC7002_A2090	0.916	0.550
SYNPCC7002_A0317	0.917	0.104
SYNPCC7002_A0839	0.917	0.328
SYNPCC7002_A1416	0.917	3.848
SYNPCC7002_A0756	0.918	0.062
SYNPCC7002_A1913	0.918	0.086
SYNPCC7002_A0640	0.918	0.057
SYNPCC7002_A0801	0.918	0.180
SYNPCC7002_A2639	0.919	0.353
SYNPCC7002_A0043	0.919	0.152
SYNPCC7002_A1756	0.919	0.056
SYNPCC7002_A2869	0.919	0.475
SYNPCC7002_A2489	0.919	8.165
SYNPCC7002_F0026	0.920	0.096
SYNPCC7002_A2095	0.920	0.078
SYNPCC7002_A1087	0.920	0.158
SYNPCC7002_A0479	0.921	0.624
SYNPCC7002_F0024	0.921	0.281
SYNPCC7002_A1379	0.921	0.148
SYNPCC7002_A2252	0.921	3.341
SYNPCC7002_A1665	0.921	0.175
SYNPCC7002_A2413	0.921	0.845
SYNPCC7002_A2824	0.922	0.200
SYNPCC7002_A0158	0.922	0.111
SYNPCC7002_A0365	0.922	0.554
SYNPCC7002_A2354	0.923	0.095
SYNPCC7002_A0239	0.923	0.574
SYNPCC7002_A2144	0.923	1.858
SYNPCC7002_A0916	0.924	0.335
SYNPCC7002_A2133	0.924	0.183
SYNPCC7002_A2472	0.924	0.258
SYNPCC7002_A2758	0.924	0.504
SYNPCC7002_A0605	0.924	0.131
SYNPCC7002_A0571	0.925	0.221
SYNPCC7002_A2580	0.925	1.179
SYNPCC7002_A2001	0.925	0.034
SYNPCC7002_A0025	0.926	1.203
SYNPCC7002_A0638	0.926	0.682
SYNPCC7002_A1814	0.926	0.133
SYNPCC7002_A0950	0.926	0.271
SYNPCC7002_A1003	0.927	0.243
